docs/audit/p0f_repros/system_string_binding_works.sio	UNRESOLVED	extern "C" system(cmd: string) called with a literal (lean E001; binding types differ)
docs/handoff/spike_generic_struct_return.sio	DEFECT-LEAN	generic struct CDExact<F> (struct-level generics)
docs/audit/g1_wip/MODULAR_INTRA_SRET_minimal_repro_2026-06-02.sio	UNRESOLVED	lean E200 on `S` in `var p: S = S {..}`; a minimal copy passes
docs/audit/r2_4_pcg64_algorithmic_bug/reference/pcg32_attempt/pcg32_fingerprint_probe.sio	UNRESOLVED	module search path (sibling module in parent dir)
examples/native/enum_match.sio	MADAROS-GUARANTEE	i64 compared to an enum variant (source bug)
examples/cognitive_ossm/cognitive_ossm.sio	MADAROS-GUARANTEE	f64 * f32 without conversion (source bug)
examples/oct_associator_ddi.sio	MADAROS-GUARANTEE	f64 result bound to f32 (source bug)
examples/oct_associator_direction.sio	MADAROS-GUARANTEE	f64 field returned as f32 (source bug)
scripts/ci/fixtures/let_ann_multimodule_main.sio	MADAROS-GUARANTEE	error in an imported module that lean_single does not report
packages/epistemic-core/src/examples/basic_measurement.sio	MADAROS-GUARANTEE	builtin Knowledge passed where &KCoreKnowledge is declared (source bug)
repro/nested_autoderef_field_store_min.sio	DEFECT-MADAROS	field store through *mut by auto-deref (repro of known gap)
self-hosted/compiler/k2_knowledge_runtime_guard_native_emission_plan_probe.sio	MADAROS-GUARANTEE	error in an imported module that lean_single does not report
repro/exact_orc/en_edge_native.sio	UNRESOLVED	builtin print_char argument type (u8 vs i64), docs silent
examples/ontology/biomedical/snomed_elplus_adapter_demo.sio	UNRESOLVED	lean borrow checker (exclusive borrow already active); Madaros has no equivalent check
examples/debug_profile_demo.sio	UNRESOLVED	lean "Mut borrow requires mutable binding" on `match &! self.left`
examples/pharmacokinetics.sio	UNRESOLVED	unit-literal arithmetic `dose_rate * 24.0<h>` with `mg/L` params
self-hosted/gpu/lower_to_ptx_wmma_lean.sio	UNRESOLVED	match exhaustiveness (lean enforces, Madaros has no check, docs silent)
examples/octonion_168_associators.sio	MADAROS-GUARANTEE	var declared inside a block, reused after it (block scope; source bug)
examples/oct_associator_expanded.sio	MADAROS-GUARANTEE	f64 field returned as f32 (source bug)
examples/oct_associator_ddi_drugbank.sio	MADAROS-GUARANTEE	f64 result bound to f32 (source bug)
examples/ossm_selective.sio	MADAROS-GUARANTEE	var declared inside a block, reused after it (block scope; source bug)
tests/audit/handle_io.sio	DEFECT-LEAN	effect handler syntax handle<E> { .. } not supported by lean
tests/audit/handle_unknown_effect.sio	BOTH	handle<E> over an invented effect: lean lacks handler syntax; Madaros accepts the unknown effect (probe's own negative control)
tests/audit/knowledge_validity_boundary_control.sio	UNRESOLVED	audit control; expected outcome for the lean leg not stated in the file
tests/audit/knowledge_provenance_boundary_silence_lean.sio	MADAROS-GUARANTEE	provenance-only Knowledge boundary mismatch lean_single does not report (the probe documents the silence)
tests/error_audit/18_match_no_patterns.sio	DEFECT-LEAN	empty match accepted by lean (error-audit probe)
tests/compiler/imported_string_literal_overflow/lib.sio	UNRESOLVED	gate fixture: lean_single 256-byte string literal limit
tests/compiler/imported_string_literal_overflow/main.sio	UNRESOLVED	gate fixture: lean_single 256-byte string literal limit (reached through import)
tests/selfhost/native_runtime/generic_explicit_fn_id_42.sio	UNRESOLVED	explicit generic call f<T>(x) syntax (Madaros E137); turbofish ::<T> is the form other tests use
tests/selfhost/native_runtime/generic_fn_id_i32_42.sio	UNRESOLVED	explicit generic call f<T>(x) syntax (Madaros E137)
tests/selfhost/gpu_runtime/test_gpu_runtime_dynamic_slice.sio	UNRESOLVED	open-range slice &b[..k] does not parse in Madaros; no harness contract
tests/stdlib/stats/test_spearman_stdlib.sio	UNRESOLVED	E004 on `result > 0.0` in stdlib/stats/inferential.sio:688 (types not isolated)
stdlib/qnn/conv.sio	UNRESOLVED	lean "missing field in struct literal" (not isolated)
stdlib/hardware/launch.sio	UNRESOLVED	module-level `let` string constant as a field initializer (lean mismatch, not isolated)
stdlib/linalg/shaped.sio	UNRESOLVED	lean "array index must be integer" (not isolated)
stdlib/compiler/parser/mod.sio	UNRESOLVED	lean E001 reported at a blank line (not isolated)
repro/exact_orc/en_edge_smt_cert.sio	UNRESOLVED	E009 on orc_load_csv(..) (definition not found)
stdlib/research/erdos90_epistemic.sio	UNRESOLVED	E036 confidence bound not tight enough (not isolated)
stdlib/theorem/search.sio	UNRESOLVED	E038 exclusive borrow while other borrows active (Madaros borrow rule; docs silent)
stdlib/darwin_pbpk/validation/pbpk28_sobol_pce.sio	UNRESOLVED	E009 passing fn ref sobol_model_pbpk28 (not isolated)
tests/ffi_posix/wf_system.sio	UNRESOLVED	extern "C" system(cmd: string) called with a literal (lean E001; binding types differ)
tests/stdlib/cybernetic/test_distinction_stdlib.sio	UNRESOLVED	typed literal suffix 0i64 in stdlib/cybernetic/distinction.sio:303 (both engines reject it in isolation)
tests/known_failures/u32_u16_u8_cast_mask_known_failure.sio	DEFECT-LEAN	narrow unsigned integers (u8/u16/u32)
tests/modular/probe_emit_phase_alive.sio	UNRESOLVED	module root differs (lean also searches self-hosted/)
tests/modular/probe_modular_plus_sota.sio	UNRESOLVED	module root differs (lean also searches self-hosted/)
tests/multimodule/madaros_imported_slice_ref_global_main.sio	DEFECT-LEAN	implicit borrow of an array argument into a & / &! parameter (intended per the file, #1510)
