file	lean_rc	madaros_rc	verdict
.github/linguist/samples/closure_fn_ref.sio	0	0	AGREE_ACCEPT
.github/linguist/samples/epistemic_bmi.sio	0	0	AGREE_ACCEPT
.github/linguist/samples/hello.sio	0	0	AGREE_ACCEPT
artifacts/compiler/madaros_large_main_repro_2026-08-09.sio	0	0	AGREE_ACCEPT
artifacts/compiler/madaros_large_main_repro_isolated_control.sio	0	0	AGREE_ACCEPT
artifacts/gpu/knowledge_vecmat_evidence_audit/segfault_probe/probe_kernel_new.sio	1	1	AGREE_REJECT
artifacts/gpu/knowledge_vecmat_evidence_audit/segfault_probe/probe_lower_empty.sio	1	1	AGREE_REJECT
artifacts/gpu/knowledge_vecmat_evidence_audit/segfault_probe/probe_ptx_buf.sio	1	1	AGREE_REJECT
artifacts/lsp_bringup/sb6.sio	0	1	MADAROS_ONLY
artifacts/lsp_bringup/sb7.sio	0	1	MADAROS_ONLY
artifacts/lsp_bringup/server_min.sio	0	1	MADAROS_ONLY
artifacts/m1_2_parity_inventory/blockers/segv_repros/sa_array_lit_inferred.sio	0	0	AGREE_ACCEPT
artifacts/m1_2_parity_inventory/blockers/segv_repros/sa_turbofish.sio	0	0	AGREE_ACCEPT
artifacts/m1_2_parity_inventory/blockers/segv_repros/sb_box_new.sio	0	0	AGREE_ACCEPT
artifacts/m1_2_parity_inventory/blockers/segv_repros/sd_refinement_param.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p1_stmt_cap_control.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p1_stmt_cap_dropped.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p2_module_splat_control.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p2_module_splat_garbage.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p3_f64_store_control.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p3_f64_store_noop.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p4_thinlink_control_leaf.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/compiler-repros/p4_thinlink_control_main.sio	0	124	TIMEOUT
artifacts/ontology-frontiers/compiler-repros/p4_thinlink_leaf.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/compiler-repros/p4_thinlink_main.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p5_named_control_main.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/p5_qualified_leaf.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/compiler-repros/p5_qualified_main.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/splat_array_ok.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/compiler-repros/struct_array_segfault.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/compiler-repros/uninit_array_segfault.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/compiler-repros/where_refinement_parse.sio	0	1	MADAROS_ONLY
artifacts/ontology-frontiers/consistent-ontology-evolution/minimal_repair_demo.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/consistent-ontology-evolution/version_chain.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/consistent-ontology-evolution/version_chain_removal.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/el-grounding/el_conflict_demo.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/epistemic-alignment-repair/alignment_repair.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/epistemic-alignment-repair/tie_repair_demo.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/epistemic-claim-status/claim_status.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/epistemic-claim-status/interval_claims.sio	0	0	AGREE_ACCEPT
artifacts/ontology-frontiers/multi-ontology/go_roots_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/multi-ontology/obo_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/multi-ontology/open_fillers_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/multi-ontology/uberon_open_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/real_repair_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/dense_full_data.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/dense_full_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/elplus_data.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/elplus_scale_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/elplus_synth_data.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/full_data.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/full_scale_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/go_elplus_data.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/go_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/go_full_elplus_driver.sio	1	0	LEAN_ONLY
artifacts/ontology-frontiers/real-data/scale/go_full_expected.sio	1	0	LEAN_ONLY
